NewLocationID,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Problem3_from,Problem3_to,Problem4_from,Problem4_to
GMU1_P_1,7/16/2021,11/2/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_10,7/16/2021,10/23/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_100,7/14/2021,10/2/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_107,6/25/2021,10/22/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_11,5/1/2021,9/15/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_12,5/2/2021,10/22/2021,5/2/2021,10/22/2021,NA,NA,NA,NA,NA,NA
GMU1_P_126,7/27/2021,9/23/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_13,7/13/2021,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_14,7/29/2021,9/16/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_152,8/6/2021,9/28/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_153,7/28/2021,9/26/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_154,7/28/2021,9/25/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_155,7/21/2021,9/17/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_156,7/7/2021,10/8/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_157,7/6/2021,9/30/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_16,5/1/2021,10/1/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_160,7/3/2021,11/4/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_167,7/21/2021,9/25/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_168,7/3/2021,10/8/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_169,7/21/2021,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_170,7/27/2021,9/15/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_173,7/28/2021,9/30/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_175,8/2/2021,9/23/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_18,7/27/2021,9/15/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_181,8/3/2021,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_19,6/9/2021,1/23/2022,10/20/2021,1/23/2022,NA,NA,NA,NA,NA,NA
GMU1_P_20,7/21/2021,11/15/2021,9/30/2021,11/15/2021,NA,NA,NA,NA,NA,NA
GMU1_P_23,5/1/2021,10/21/2021,5/17/2021,5/30/2021,NA,NA,NA,NA,NA,NA
GMU1_P_26,7/21/2021,11/4/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_27,4/30/2021,7/17/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_28,6/24/2021,9/18/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_29,5/1/2021,7/6/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_30,7/28/2021,10/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_31,7/1/2021,10/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_33,7/20/2021,10/5/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_34,7/14/2021,10/7/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_35,5/10/2021,11/4/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_36,5/5/2021,10/25/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_39,8/2/2021,10/26/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_40,7/16/2021,11/4/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_41,5/1/2021,9/21/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_42,5/6/2021,10/27/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_43,4/30/2021,11/10/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_44,7/19/2021,9/27/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_46,7/21/2021,8/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_47,7/27/2021,10/17/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_48,7/17/2021,11/2/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_49,7/13/2021,10/28/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_50,5/24/2021,10/6/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_52,5/6/2021,10/27/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_55,6/4/2021,9/28/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_56,7/30/2021,10/1/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_57,7/12/2021,11/3/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_58,7/16/2021,11/2/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_59,5/4/2021,10/18/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_6,7/27/2021,9/16/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_60,7/12/2021,10/6/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_61,7/14/2021,9/15/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_62,7/30/2021,10/3/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_64,7/24/2021,10/20/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_66,7/22/2021,9/22/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_67,5/4/2021,10/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_68,8/4/2021,9/25/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_7,7/15/2021,9/22/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_70,7/23/2021,10/25/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_71,7/26/2021,11/1/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_72,4/30/2021,11/10/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_74,7/14/2021,11/5/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_75,7/24/2021,10/12/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_76,7/26/2021,11/4/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_77,7/18/2021,11/4/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_78,7/19/2021,9/16/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_79,7/27/2021,9/22/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_8,5/4/2021,10/20/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_80,7/1/2021,10/7/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_81,7/30/2021,11/6/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_82,6/3/2021,10/14/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_83,7/21/2021,9/21/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_84,7/13/2021,9/28/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_85,7/29/2021,10/2/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_86,4/28/2021,10/27/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_87,7/13/2021,9/17/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_88,5/3/2021,10/21/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_89,7/20/2021,9/25/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_9,7/20/2021,9/26/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_90,7/6/2021,9/30/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_91,7/28/2021,10/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_92,7/22/2021,10/16/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_93,7/14/2021,9/30/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_94,7/1/2021,10/10/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_95,7/13/2021,9/23/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_96,7/23/2021,11/3/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_97,7/27/2021,9/26/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_98,7/30/2021,11/1/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_P_99,6/4/2021,8/23/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_1,7/16/2021,11/2/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_10,7/16/2021,10/23/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_100,7/15/2021,10/2/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_101,7/15/2021,10/5/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_102,8/3/2021,11/1/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_103,5/4/2021,10/11/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_104,7/20/2021,11/2/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_105,7/14/2021,10/7/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_106,7/30/2021,10/3/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_107,6/25/2021,10/22/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_108,5/3/2021,5/14/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_11,5/1/2021,9/15/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_110,7/29/2021,9/28/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_111,7/15/2021,11/3/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_112,7/15/2021,10/20/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_114,7/28/2021,9/23/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_115,5/4/2021,6/22/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_117,5/4/2021,8/9/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_118,7/13/2021,11/5/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_119,4/30/2021,11/10/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_12,5/2/2021,5/20/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_120,7/29/2021,9/24/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_121,7/23/2021,9/16/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_122,7/28/2021,11/3/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_123,5/4/2021,10/20/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_124,5/1/2021,10/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_125,7/5/2021,9/16/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_126,7/27/2021,9/23/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_128,7/27/2021,10/7/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_129,7/12/2021,10/22/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_13,7/13/2021,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_130,5/3/2021,5/10/2021,NA,NA,NA,NA,NA,NA,NA,NA
GMU1_U_131,5/5/2021,9/17/2021,NA,NA,NA,NA,NA,NA,NA,NA
