NewLocationID,GMU,perc_forest,Elevation__10m2,TRI,elk_perday,lagomorphs_perday,moose_perday,whitetaileddeer_perday
GMU10A_P_10,GMU10A,1,1075,2.375,0,16.9,5.2,20.8
GMU10A_P_101,GMU10A,0.811,836,1.875,20.8,2.6,2.6,44.2
GMU10A_P_102,GMU10A,1,1287,3.375,33.8,0,0,0
GMU10A_P_103,GMU10A,0.73,1519,3.375,5.6,12.6,0,7
GMU10A_P_104,GMU10A,0.811,821,4.125,42.9,0,0,23.4
GMU10A_P_105,GMU10A,0.838,788,3.25,14.3,0,0,6.5
GMU10A_P_107,GMU10A,0.811,1276,2.75,13,2.6,0,18.2
GMU10A_P_108,GMU10A,1,1005,0.625,6.5,0,0,57.1
GMU10A_P_109,GMU10A,0.919,1060,3.125,27.3,0,2.6,39
GMU10A_P_11,GMU10A,0,1283,0.75,31.2,0,0,46.8
GMU10A_P_110,GMU10A,0.432,1038,0.75,9.1,0,0,66.2
GMU10A_P_111,GMU10A,1,1409,3.375,3.9,0,1.3,5.2
GMU10A_P_112,GMU10A,0.243,819,2.875,5.2,0,0,23.4
GMU10A_P_12,GMU10A,0.676,1021,0.5,7.8,0,0,58.4
GMU10A_P_14,GMU10A,0,919,1.25,0,0,0,118.2
GMU10A_P_15,GMU10A,1,1393,1.75,1.3,0,1.3,35.1
GMU10A_P_16,GMU10A,0.108,632,1,7.8,0,0,28.6
GMU10A_P_17,GMU10A,0.946,822,4.5,24.7,1.3,0,33.8
GMU10A_P_18,GMU10A,1,1110,2.25,0,0,0,0
GMU10A_P_20,GMU10A,1,1091,2.75,2.6,0,0,9.1
GMU10A_P_21,GMU10A,0.865,1654,1.125,22.1,0,13,71.4
GMU10A_P_22,GMU10A,1,1098,4.5,6.5,22.2,0,6.5
GMU10A_P_23,GMU10A,1,1172,2.125,10.4,0,0,39
GMU10A_P_24,GMU10A,0.459,1010,1.75,35.1,0,0,54.5
GMU10A_P_25,GMU10A,1,942,2.625,18.2,0,0,6.5
GMU10A_P_26,GMU10A,0,709,3.125,0,0,0,0
GMU10A_P_27,GMU10A,0.919,1043,3.625,7.8,1.3,1.3,3.9
GMU10A_P_28,GMU10A,0.892,964,0,20.8,0,0,144.2
GMU10A_P_29,GMU10A,0.459,914,0.375,1.3,0,1.3,70.1
GMU10A_P_30,GMU10A,0.73,951,0.625,6.5,3.9,0,58.4
GMU10A_P_31,GMU10A,1,1011,0.75,1.3,3.9,1.3,27.3
GMU10A_P_32,GMU10A,0.892,971,2.75,1.3,1.3,0,14.3
GMU10A_P_34,GMU10A,1,1092,2,18.2,0,7.8,20.8
GMU10A_P_36,GMU10A,1,998,0.875,18.2,1.3,0,42.9
GMU10A_P_37,GMU10A,0.757,1189,2,26,0,23.4,26
GMU10A_P_38,GMU10A,0.919,1142,4,50.3,6.6,1.3,39.7
GMU10A_P_39,GMU10A,0.865,1455,0.875,13,0,0,5.2
GMU10A_P_4,GMU10A,1,1044,2.5,6.5,0,1.3,5.2
GMU10A_P_40,GMU10A,0,845,2.25,50.6,0,0,18.2
GMU10A_P_41,GMU10A,1,1112,2.625,32.5,0,0,14.3
GMU10A_P_43,GMU10A,1,1218,1.625,0,0,0,53.2
GMU10A_P_45,GMU10A,0.838,871,1.125,11.7,0,0,15.6
GMU10A_P_46,GMU10A,0.432,970,0.125,3.9,9.1,0,96.1
GMU10A_P_47,GMU10A,1,1230,2.5,5.2,0,1.3,11.7
GMU10A_P_48,GMU10A,0.432,909,2.125,13,0,0,11.7
GMU10A_P_49,GMU10A,0.378,1680,2.75,0,0,0,5.9
GMU10A_P_5,GMU10A,1,1145,3,44.4,0,11.8,26.1
GMU10A_P_50,GMU10A,0.865,1265,2.625,9.8,5.6,0,19.6
GMU10A_P_51,GMU10A,0.919,1491,1,3.9,0,2.6,41.6
GMU10A_P_52,GMU10A,1,993,1.25,1.3,46.8,0,70.1
GMU10A_P_53,GMU10A,1,1174,1.125,15.6,0,1.3,5.2
GMU10A_P_54,GMU10A,1,1528,1.375,20.8,0,1.3,2.6
GMU10A_P_55,GMU10A,1,1125,1.75,11.7,0,0,3.9
GMU10A_P_56,GMU10A,0.676,976,0.25,20.8,0,0,105.2
GMU10A_P_57,GMU10A,0.946,619,3.125,0,0,0,0
GMU10A_P_59,GMU10A,0,1777,0.75,1.8,0,5.4,39.3
GMU10A_P_6,GMU10A,1,1115,4.625,2.8,0,0,2.8
GMU10A_P_60,GMU10A,0.216,641,3.125,49.4,0,0,16.9
GMU10A_P_61,GMU10A,0.243,899,3,30.8,0,0,15.4
GMU10A_P_62,GMU10A,0.351,951,0,1.3,1.3,0,20.8
GMU10A_P_63,GMU10A,1,1205,0.25,0,0,0,3.9
GMU10A_P_64,GMU10A,0.892,990,0.25,19.5,0,0,46.8
GMU10A_P_65,GMU10A,0.378,1903,2.75,3.9,0,3.9,1.3
GMU10A_P_66,GMU10A,1,957,6,29.9,0,0,7.8
GMU10A_P_67,GMU10A,1,1263,2.875,11.7,0,1.3,13
GMU10A_P_68,GMU10A,0.892,987,0.75,7.8,1.3,0,53.2
GMU10A_P_69,GMU10A,0.892,1200,1.25,24.7,0,9.1,70.1
GMU10A_P_7,GMU10A,0.919,1096,1.625,4.9,0,3.3,61.8
GMU10A_P_71,GMU10A,1,1049,1.5,9.1,1.3,0,14.3
GMU10A_P_72,GMU10A,1,919,3.625,10.4,9.1,0,57.1
GMU10A_P_75,GMU10A,1,1460,3,0,0,1.3,31.2
GMU10A_P_76,GMU10A,0.324,836,2.875,59.7,0,0,41.6
GMU10A_P_77,GMU10A,0.946,731,1.875,10.4,0,0,72.7
GMU10A_P_78,GMU10A,0.459,1014,0,11.7,1.3,0,53.2
GMU10A_P_79,GMU10A,1,986,0,0,1.3,1.3,23.4
GMU10A_P_8,GMU10A,1,990,2.125,14.3,0,0,54.5
GMU10A_P_80,GMU10A,0.892,1072,0.875,36.4,39,0,27.3
GMU10A_P_82,GMU10A,0.919,1474,2.25,176.6,0,7.8,27.3
GMU10A_P_83,GMU10A,0.973,997,1,30.8,0,0,76.9
GMU10A_P_84,GMU10A,1,957,1.625,9.1,0,0,132.5
GMU10A_P_85,GMU10A,1,1349,1.75,18.2,6.5,1.3,5.2
GMU10A_P_86,GMU10A,1,1244,1.875,23.4,10.4,1.3,84.4
GMU10A_P_87,GMU10A,0.73,938,3.625,4.3,8.5,0,9.9
GMU10A_P_88,GMU10A,0.892,891,3,31.2,2.6,0,6.5
GMU10A_P_89,GMU10A,0.973,1063,2,21.1,0,1.4,80.3
GMU10A_P_93,GMU10A,1,1126,3.375,33.8,0,5.2,11.7
GMU10A_P_94,GMU10A,0.676,920,0,10.4,0,0,151.9
GMU10A_P_95,GMU10A,1,1075,0.875,0,0,2.6,29.9
GMU10A_P_96,GMU10A,1,1124,0.875,6.5,0,1.3,20.8
GMU10A_P_97,GMU10A,0.973,1221,3.875,31.9,0,5.6,8.3
GMU10A_P_98,GMU10A,1,1390,4.75,6.5,0,0,0
GMU10A_P_99,GMU10A,1,1407,2.5,6.5,0,3.9,32.5
GMU10A_U_10,GMU10A,1,1075,1.25,0,0,1.3,16.9
GMU10A_U_101,GMU10A,1,859,1.125,23.4,0,1.3,15.6
GMU10A_U_102,GMU10A,0.973,1176,5.25,0,0,0,0
GMU10A_U_103,GMU10A,0.622,966,6.75,0,0,0,0
GMU10A_U_104,GMU10A,1,656,6.625,5.2,13,0,5.2
GMU10A_U_105,GMU10A,0.811,752,2.625,1.3,0,0,26
GMU10A_U_107,GMU10A,0.784,1266,2.75,0,2.6,0,3.9
GMU10A_U_108,GMU10A,1,1005,0.625,9.1,0,0,62.3
